id,story,conversions,url
6067393,"Infektionswelle trotz totaler Durchimpfung, aber Verläufe mild",122.588,https://www.diepresse.com/6067393
6067330,Testpflicht für Geimpfte und Genesene: Wiens Pläne nach dem Lockdown,79.152,https://www.diepresse.com/6067330
6067777,Es reicht! Wie kommen unsere Kinder dazu?,61.974,https://www.diepresse.com/6067777
6069401,Warum Sebastian Kurz die Reißleine zog,60.238,https://www.diepresse.com/6069401
6068919,Wiederkehr: Impfpflicht und 2G &quot;nur mit Befristung&quot;,57.370,https://www.diepresse.com/6068919
6068310,Impfmeister Portugal im Notstand,51.640,https://www.diepresse.com/6068310
6068231,„Alles gurgelt“-Erfinder: Testpflicht für Geimpfte „falscher Fokus“,51.480,https://www.diepresse.com/6068231
6067789,Rohentwurf für Impfpflicht: Bis zu 7200 Euro Geldstrafe,50.633,https://www.diepresse.com/6067789
6070128,"7304 Neuinfektionen, viele Impfzertifikate verlieren am Montag Gültigkeit",43.100,https://www.diepresse.com/6070128
6069962,Ein Nichtpolitiker geht – unfreiwillig,42.190,https://www.diepresse.com/6069962
6068936,Ist Kickl auch biologisch ein Superspreader?,42.058,https://www.diepresse.com/6068936
6054729,Ansteckende Geimpfte: Regeln für Kontaktpersonen nicht mehr haltbar,41.392,https://www.diepresse.com/6054729
6068801,Droht Österreich ein Mangel an Corona-Impfstoffen?,35.917,https://www.diepresse.com/6068801
6067394,Impfverweigerung nimmt Versicherungsschutz,34.547,https://www.diepresse.com/6067394
6067825,Darf man ohne Strafe auf Urlaub fahren?,33.752,https://www.diepresse.com/6067825
6069415,Kanzlerin Rendi-Wagner – wenn die Partei sie lässt,32.986,https://www.diepresse.com/6069415
6070082,Warum Impfungen auch bei neuen Varianten vor schweren Verläufen schützen,31.455,https://www.diepresse.com/6070082
6069416,Van der Bellen baut eine Drehtür ein,30.927,https://www.diepresse.com/6069416
6067393,Infektionswelle trotz totaler Durchimpfung,30.898,https://www.diepresse.com/6067393
6069050,Kurz verkündet Rücktritt: &quot;Ich bin weder ein Heiliger noch ein Verbrecher&quot;,29.875,https://www.diepresse.com/6069050
6068545,Kocher und Edtstadler nach Kontakt mit positiv Getestetem im Homeoffice,29.780,https://www.diepresse.com/6068545
6069485,&quot;Für meine Familie&quot;: Auch Finanzminister Gernot Blümel tritt zurück,28.282,https://www.diepresse.com/6069485
6069525,Alle Covid-Impfstoffe wirken bei &quot;drittem Stich&quot;,27.200,https://www.diepresse.com/6069525
6060638,"Jung, fit, ungeimpft &amp;ndash; und nun Intensivpatient",27.176,https://www.diepresse.com/6060638
6070436,Geirrt haben sich alle: Das Ende der Pandemie ist nicht absehbar,27.099,https://www.diepresse.com/6070436
5671030,Bilder aus aller Welt,26.180,https://www.diepresse.com/5671030
6070359,Mehrheit der Bevölkerung für Impfpflicht und für Strafen,24.183,https://www.diepresse.com/6070359
