id,story,conversions,url
6074245,ZiB-Flash-Moderator mit Sprachproblemen: Rafreider suspendiert,134470,https://www.diepresse.com/6074245
6054729,Ansteckende Geimpfte: Regeln für Kontaktpersonen nicht mehr haltbar,103986,https://www.diepresse.com/6054729
6076269,Intensivmediziner: Die Falschinformationen sind erschreckend,96980,https://www.diepresse.com/6076269
6073397,Epidemiologe: Omikron-Welle wird uns hart treffen,90000,https://www.diepresse.com/6073397
6071147,Mücksteins skurriler Auftritt in der ZiB 2: Nichts zu irgendwas,88938,https://www.diepresse.com/6071147
6078688,Was auf Österreich zukommt,87443,https://www.diepresse.com/6078688
6070749,Warum Elisabeth Köstinger in der ÖVP polarisiert,83462,https://www.diepresse.com/6070749
6074602,Kickl auf Puls4: Wem man eine Bühne gibt,78887,https://www.diepresse.com/6074602
6075220,"Vertrauensindex: Nehammer steigt auf, Kickl stürzt (weiter) ab",74325,https://www.diepresse.com/6075220
6060638,"Jung, fit, ungeimpft – und nun Intensivpatient",73153,https://www.diepresse.com/6060638
6070436,Geirrt haben sich alle: Das Ende der Pandemie ist nicht absehbar,72483,https://www.diepresse.com/6070436
6069401,Warum Sebastian Kurz die Reißleine zog,67454,https://www.diepresse.com/6069401
6079174,Ex-FPÖ-Chef Hofer teilt Meinung von Van der Bellen überhaupt nicht,67430,https://www.diepresse.com/6079174
6070578,FPÖ-Abgeordnete Belakowitsch: Spitäler wegen Impfschäden überfüllt,65005,https://www.diepresse.com/6070578
6077117,"Wenn Offizier Nehammer spricht, ist der Krieg nie weit",64532,https://www.diepresse.com/6077117
6078510,Ex-Kanzler Kurz geht beruflich in die USA,61106,https://www.diepresse.com/6078510
6069050,Sebastian Kurz zieht sich aus der Politik zurück,60852,https://www.diepresse.com/6069050
6076618,Warum gerade der gruselige Totimpfstoff so beliebt ist,60562,https://www.diepresse.com/6076618
6075738,Rewe-Chef: Diese Scheinheiligkeit ärgert mich wahnsinnig,60222,https://www.diepresse.com/6075738
6078536,Neues Volksbegehren gegen Impfpflicht,59454,https://www.diepresse.com/6078536
6073229,Lockdown wird Fall für Verfassungsgerichtshof,58432,https://www.diepresse.com/6073229
6068919,Wiederkehr: Impfpflicht und 2G nur mit Befristung,56940,https://www.diepresse.com/6068919
6076999,Omikron-Welle überrollt Europas Impfhochburgen,55273,https://www.diepresse.com/6076999
6070323,Weg von hier: Flucht vor dem Lockdown,54223,https://www.diepresse.com/6070323
6072684,Landeshauptmann Platter zu Chats: Mich hat es auch gebeutelt,53796,https://www.diepresse.com/6072684
6068310,Impfmeister Portugal im Notstand,52595,https://www.diepresse.com/6068310
6070765,Belakowitsch bei Nationalratswahl fälschlicherweise als Ärztin kandidiert,52127,https://www.diepresse.com/6070765
6071552,Virus wird zuwachsen: Drosten befürchtet Problem im neuen Jahr,51969,https://www.diepresse.com/6071552
6076203,Was bald auf Wohnungseigentümer zukommt,50084,https://www.diepresse.com/6076203
6070082,Warum Impfungen auch bei neuen Varianten vor schweren Verläufen schützen,49411,https://www.diepresse.com/6070082
6072723,Leise Skepsis in der FPÖ vor der lauten Demo,48861,https://www.diepresse.com/6072723
6071437,Ärztekammer-Präsident Szekeres: Man war zu optimistisch,48156,https://www.diepresse.com/6071437
6077042,Gekündigter Professor dockt bei Kickl an,47388,https://www.diepresse.com/6077042
6069552,"ÖVP-Rochade: Staatssekretär Brunner wird Finanzminister, Bildungsminister Faßmann dürfte gehen",47026,https://www.diepresse.com/6069552
6070698,ÖVP Wien: Der nächste Rücktritt,46881,https://www.diepresse.com/6070698
6069962,Ein Nichtpolitiker geht – unfreiwillig,46083,https://www.diepresse.com/6069962
6070972,Sie haben nichts gelernt,45068,https://www.diepresse.com/6070972
6077385,VSV bringt Strafanzeige gegen Kurz und Co. ein,44835,https://www.diepresse.com/6077385
6073520,"SPÖ wirft Nehammer Inhaltsleere vor, Kickl macht einen Vorschlag",43832,https://www.diepresse.com/6073520
6068936,Ist Kickl auch biologisch ein Superspreader?,40255,https://www.diepresse.com/6068936
6069485,Für meine Familie: Auch Finanzminister Gernot Blümel tritt zurück,40107,https://www.diepresse.com/6069485
6078695,Welchen Job Sebastian Kurz (nicht) übernimmt,38120,https://www.diepresse.com/6078695
6071108,Lockdown-Ende am 12. Dezember: Nehammer will Handel und Gastro öffnen,37964,https://www.diepresse.com/6071108
6071769,"Virologe Krammer: Gehe davon aus, dass Omikron genauso schwere Verläufe verursacht wie Delta",37791,https://www.diepresse.com/6071769
6068801,Droht Österreich ein Mangel an Corona-Impfstoffen?,37406,https://www.diepresse.com/6068801
6076172,Wie Herbert Kickl ungewöhnlich deutlich gerügt wird,37400,https://www.diepresse.com/6076172
6080382,Epidemiologe: Omikron-Welle könnte Schlüssel zum Ende der Pandemie sein,37106,https://www.diepresse.com/6080382
6075711,Corona-Demos: Die Lage ist sehr angespannt,36783,https://www.diepresse.com/6075711
6079038,Wie viel Prozent der Arbeitsfähigen können ausfallen?,36615,https://www.diepresse.com/6079038
6076110,"ÄrztInnen vs. Covid: Wir schreien nicht, wir arbeiten",36164,https://www.diepresse.com/6076110
6079952,Meinl-Reisinger: Bürger werden wie kleine Kinder behandelt,35980,https://www.diepresse.com/6079952
6068545,Kocher und Edtstadler nach Kontakt mit positiv Getestetem im Homeoffice,35912,https://www.diepresse.com/6068545
6069415,Kanzlerin Rendi-Wagner – wenn die Partei sie lässt,34651,https://www.diepresse.com/6069415
6064259,"Faßmann: Möchte nicht, dass ein Minister sagt, was für ein Kind das Beste ist",34030,https://www.diepresse.com/6064259
6068231,Alles gurgelt-Erfinder: Testpflicht für Geimpfte falscher Fokus,32874,https://www.diepresse.com/6068231
6071294,Live ab 13:30 Uhr: Wie Wien aus dem Lockdown gehen will,32654,https://www.diepresse.com/6071294
6075464,Sechs Monate unbezahlter Urlaub für Roman Rafreider,31508,https://www.diepresse.com/6075464
6071398,Ärztekammer zur Impfpflicht: Befreiungen sollen nur Amtsärzte ausstellen,31403,https://www.diepresse.com/6071398
6075705,Omikron: Österreich verschärft Einreiseregeln,31084,https://www.diepresse.com/6075705
6069416,Van der Bellen baut eine Drehtür ein,30623,https://www.diepresse.com/6069416
6075741,Mit Kickl und Ludwig im Rückwärtsgang in die Zukunft,29356,https://www.diepresse.com/6075741
6075470,Zehntausende Fälle in Österreich: A1 warnt vor falscher Paketzusteller-SMS,28691,https://www.diepresse.com/6075470
6079298,Gesundheit geht für Bundesschulsprecherin Öllinger vor,28653,https://www.diepresse.com/6079298
6078665,Welle brechen oder durchtauchen? Die Omikron-Wette,28420,https://www.diepresse.com/6078665
6079162,Es geht um mehr als um die Silvester-Sperrstunde,28184,https://www.diepresse.com/6079162
6070359,Mehrheit der Bevölkerung für Impfpflicht und für Strafen,27605,https://www.diepresse.com/6070359
6069525,Alle Covid-Impfstoffe wirken bei drittem Stich,27029,https://www.diepresse.com/6069525
6071583,Ende des Lockdowns: Welche Bundesländer wann aufsperren,26807,https://www.diepresse.com/6071583
6075002,Wie Omikron jetzt London überrollt,26528,https://www.diepresse.com/6075002
6074793,Drohungen von Impfgegnern in Österreich weiten sich aus,26280,https://www.diepresse.com/6074793
6073016,"Delta geht, Omikron kommt und Kickl führt den Protest",26122,https://www.diepresse.com/6073016
6027989,Heute vor 90 Jahren: Vom Spießer im braunen Hemd und dem nordischen Edelmenschen,25877,https://www.diepresse.com/6027989
6077178,"Köstinger: Ich bin nicht dafür da, dass mich jeder mag",25609,https://www.diepresse.com/6077178
6070128,"7304 Neuinfektionen, viele Impfzertifikate verlieren am Montag Gültigkeit",25602,https://www.diepresse.com/6070128
6072146,Impfpflicht? Das hätten wir alles auch einfacher haben können,25152,https://www.diepresse.com/6072146
6075050,Opposition wirft Köstinger Umgehung des Parlaments vor,25097,https://www.diepresse.com/6075050
6078002,Gegen Bevormundung: MFG will bei Wiener Ärztekammerwahl antreten,24730,https://www.diepresse.com/6078002
6071386,Ärztekammer schickt Warnschreiben an niedergelassene Ärzte,24726,https://www.diepresse.com/6071386
6069317,Novavax und Valneva: Lohnt sich das Warten auf Totimpfstoffe?,24590,https://www.diepresse.com/6069317
6073993,Kurz-Beraterin soll Botschafterin in Paris werden,24417,https://www.diepresse.com/6073993
